Altium Designer Pick and Place Locations
C:\Users\lafleur\Desktop\Altium Projects\HF-Simulator Rev-3d\Project Outputs for HF-Simulator Rev-1\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       13/03/26
Time:       08:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint            Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                    
C29        22uf               BottomLayer 0805                 4227.402      2790.000      0        Capacitor                                                                                                                      
C28        .1uf               BottomLayer 6-0805               4227.402      2700.000      0        Capacitor                                                                                                                      
R41        10k                BottomLayer 6-0805               650.000       950.000       90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R40        10k                BottomLayer 6-0805               1875.000      925.000       90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
C27        22uf               BottomLayer 0805                 4160.000      4085.000      180      Capacitor                                                                                                                      
C26        .1uf               BottomLayer 6-0805               4162.598      4180.000      180      Capacitor                                                                                                                      
R39        "0 Ohms"           BottomLayer 6-0805               3775.000      1775.000      270      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R38        "0 Ohms"           BottomLayer 6-0805               3650.000      1762.402      270      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
C25        10uf               BottomLayer 0805                 2302.598      3340.000      180      Capacitor                                                                                                                      
P4         LCD-Header         TopLayer    HDR1X5               250.000       2200.000      90       "Header, 5-Pin"                                                                                                                
R36        100k               BottomLayer 6-0805               1700.000      3800.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R28        100k               BottomLayer 6-0805               1000.000      3800.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R33        100k               BottomLayer 6-0805               1850.000      3800.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R25        100k               BottomLayer 6-0805               850.000       3800.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
C12        .1uf               BottomLayer 6-0805               2450.000      2800.000      270      Capacitor                                                                                                                      
U7         OPA2322AID         BottomLayer D0008A_L             2400.000      4000.000      0        "20 MHz, Low Noise, RRIO, CMOS Operational Amplifier, 1.8 to 5.5 V, -40 to 125 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)" 
U6         PVT312             BottomLayer SOP254P978X342-6N    500.000       3400.000      90       "SS Relay, 250V 200ma"                                                                                                         
U5         SGTL5000XNAA3      BottomLayer QFN50P500X500X90-33N 2650.000      3150.000      0        "Integrated Circuit"                                                                                                           
U4         AP7313-18SAG-7     BottomLayer SOT96P240X135-3N     2310.000      2790.000      180      "Integrated Circuit"                                                                                                           
U3         PEC11R-4030F-S0024 TopLayer    PEC12R-4XXXF-SXXXX_1 1000.000      590.157       0        "Undefined or Miscellaneous"                                                                                                   
U1         "Teensy 4.1"       TopLayer    DIP48-.25pins        4200.000      3050.000      0        ""                                                                                                                             
U2         PEC11R-4030F-S0024 TopLayer    PEC12R-4XXXF-SXXXX_1 2250.000      590.157       0        "Undefined or Miscellaneous"                                                                                                   
R37        10k                BottomLayer 6-0805               2800.000      4000.000      270      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R35        100k               BottomLayer 6-0805               1700.000      4000.000      270      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R34        1k                 BottomLayer 6-0805               2650.000      3800.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R32        "0 Ohms"           BottomLayer 6-0805               2650.000      4000.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R31        120                BottomLayer 6-0805               3400.000      3362.598      270      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R30        120                BottomLayer 6-0805               3200.000      3362.598      270      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R29        10k                BottomLayer 6-0805               2000.000      4000.000      270      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R27        100k               BottomLayer 6-0805               1000.000      4000.000      270      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R26        1k                 BottomLayer 6-0805               2150.000      3800.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R24        "0 Ohms"           BottomLayer 6-0805               2150.000      4000.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R23        120                BottomLayer 6-0805               850.000       3250.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R22        10k                BottomLayer 6-0805               700.000       3050.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R20        120                BottomLayer 6-0805               3200.000      2150.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R19        120                BottomLayer 6-0805               3200.000      3000.000      0        "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R18        120                BottomLayer 6-0805               3000.000      2850.000      0        "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R17        120                BottomLayer 6-0805               3200.000      3150.000      0        "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R16        120                BottomLayer 6-0805               3000.000      3000.000      0        "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R15        120                BottomLayer 6-0805               3000.000      3150.000      0        "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R6         4.7k               BottomLayer 6-0805               4825.000      2562.598      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R5         4.7k               BottomLayer 6-0805               4825.000      2350.000      90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R10        10k                BottomLayer 6-0805               1300.000      175.000       180      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R9         10k                BottomLayer 6-0805               650.000       175.000       0        "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R8         10k                BottomLayer 6-0805               2525.000      175.000       180      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R7         10k                BottomLayer 6-0805               1900.000      175.000       0        "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R4         1.2k               BottomLayer 6-0805               3400.000      700.000       90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R3         1.2k               BottomLayer 6-0805               3250.000      700.000       90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R2         1.2k               BottomLayer 6-0805               3100.000      700.000       90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
R1         1.2k               BottomLayer 6-0805               2950.000      700.000       90       "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"                               
